#jeu de données de test

ETUDIANT1,Prenom1,10
ETUDIANT2,Prenom2,13
ETUDIANT3,Prenom3,8
ETUDIANT4,Prenom4,10
ETUDIANT5,Prenom5,4
ETUDIANT6,Prenom6,7
ETUDIANT7,Prenom7,15
ETUDIANT8,Prenom8,5
ETUDIANT9,Prenom9,16
ETUDIANT10,Prenom10,16
ETUDIANT11,Prenom11,17
ETUDIANT12,Prenom12,16
ETUDIANT13,Prenom13,2
ETUDIANT14,Prenom14,3
ETUDIANT15,Prenom15,15
ETUDIANT16,Prenom16,16
ETUDIANT17,Prenom17,12
ETUDIANT18,Prenom18,13
ETUDIANT19,Prenom19,13
ETUDIANT20,Prenom20,19
ETUDIANT21,Prenom21,17
ETUDIANT22,Prenom22,2
ETUDIANT23,Prenom23,18
ETUDIANT24,Prenom24,13
ETUDIANT25,Prenom25,3
ETUDIANT26,Prenom26,12
ETUDIANT27,Prenom27,2
ETUDIANT28,Prenom28,9
ETUDIANT29,Prenom29,17
ETUDIANT30,Prenom30,17



